NCHW,1,3,224,64,7,2,3,0.169787, 0.081437, 2.08
NCHW,16,3,224,64,7,2,3,nan, 0.656101, nan
NCHW,32,3,224,64,7,2,3,nan, 1.26121, nan
NCHW,1,64,56,64,3,1,1,0.160638, 0.047772, 3.36
NCHW,16,64,56,64,3,1,1,nan, 0.39014, nan
NCHW,32,64,56,64,3,1,1,nan, 0.718609, nan
NCHW,1,64,56,64,1,1,0,0.034013, 0.036528, 0.93
NCHW,16,64,56,64,1,1,0,nan, 0.145901, nan
NCHW,32,64,56,64,1,1,0,nan, 0.259674, nan
NCHW,1,64,56,128,3,2,1,0.102319, 0.071658, 1.43
NCHW,16,64,56,128,3,2,1,nan, 0.31045, nan
NCHW,32,64,56,128,3,2,1,nan, 0.497977, nan
NCHW,1,64,56,128,1,2,0,0.035829, 0.032826, 1.09
NCHW,16,64,56,128,1,2,0,nan, 0.097221, nan
NCHW,32,64,56,128,1,2,0,nan, 0.159729, nan
NCHW,1,128,28,128,3,1,1,0.121596, 0.051543, 2.36
NCHW,16,128,28,128,3,1,1,nan, 0.333149, nan
NCHW,32,128,28,128,3,1,1,nan, 0.614683, nan
NCHW,1,128,28,256,3,2,1,0.161406, 0.129767, 1.24
NCHW,16,128,28,256,3,2,1,nan, 0.380432, nan
NCHW,32,128,28,256,3,2,1,nan, 0.563489, nan
NCHW,1,128,28,256,1,2,0,0.030103, 0.036109, 0.83
NCHW,16,128,28,256,1,2,0,nan, 0.085767, nan
NCHW,32,128,28,256,1,2,0,nan, 0.141501, nan
NCHW,1,256,14,256,3,1,1,0.41675, 0.084649, 4.92
NCHW,16,256,14,256,3,1,1,nan, 0.327561, nan
NCHW,32,256,14,256,3,1,1,nan, 0.591426, nan
NCHW,1,256,14,512,3,2,1,0.39021, 0.230969, 1.69
NCHW,16,256,14,512,3,2,1,nan, 0.38141, nan
NCHW,32,256,14,512,3,2,1,nan, 0.627116, nan
NCHW,1,256,14,512,1,2,0,0.060274, 0.04889, 1.23
NCHW,16,256,14,512,1,2,0,nan, 0.079062, nan
NCHW,32,256,14,512,1,2,0,nan, 0.135983, nan
NCHW,1,512,7,512,3,1,1,0.22608, 0.225382, 1.00
NCHW,16,512,7,512,3,1,1,nan, 0.827074, nan
NCHW,32,512,7,512,3,1,1,nan, 0.897266, nan
NCHW,1,128,122,128,3,1,1,2.40132, 0.413747, 5.80
NCHW,16,128,122,128,3,1,1,nan, 6.24231, nan
NCHW,32,128,122,128,3,1,1,nan, 13.291, nan
NCHW,1,1,224,64,5,1,2,0.118872, 0.104135, 1.14
NCHW,16,1,224,64,5,1,2,nan, 1.09646, nan
NCHW,32,1,224,64,5,1,2,nan, 2.06475, nan
NCHW,1,64,224,64,3,1,1,1.82792, 0.387346, 4.72
NCHW,16,64,224,64,3,1,1,nan, 6.47405, nan
NCHW,32,64,224,64,3,1,1,nan, 13.0913, nan
NCHW,1,64,224,32,3,1,1,1.31206, 0.237394, 5.53
NCHW,16,64,224,32,3,1,1,nan, 4.52887, nan
NCHW,32,64,224,32,3,1,1,nan, 9.27927, nan
NCHW,1,32,224,9,3,1,1,0.558111, 0.12823, 4.35
NCHW,16,32,224,9,3,1,1,nan, 1.79383, nan
NCHW,32,32,224,9,3,1,1,nan, 3.86536, nan
HWCN,1,3,224,64,7,2,3,6.08565, nan, nan
HWCN,16,3,224,64,7,2,3,7.39464, nan, nan
HWCN,32,3,224,64,7,2,3,7.62771, nan, nan
HWCN,1,64,56,64,3,1,1,4.99793, nan, nan
HWCN,16,64,56,64,3,1,1,6.02433, nan, nan
HWCN,32,64,56,64,3,1,1,6.12204, nan, nan
HWCN,1,64,56,64,1,1,0,0.998538, nan, nan
HWCN,16,64,56,64,1,1,0,1.11217, nan, nan
HWCN,32,64,56,64,1,1,0,2.09723, nan, nan
HWCN,1,64,56,128,3,2,1,2.43645, nan, nan
HWCN,16,64,56,128,3,2,1,3.10806, nan, nan
HWCN,32,64,56,128,3,2,1,3.15646, nan, nan
HWCN,1,64,56,128,1,2,0,0.475976, nan, nan
HWCN,16,64,56,128,1,2,0,0.541349, nan, nan
HWCN,32,64,56,128,1,2,0,0.779442, nan, nan
HWCN,1,128,28,128,3,1,1,5.01406, nan, nan
HWCN,16,128,28,128,3,1,1,6.04738, nan, nan
HWCN,32,128,28,128,3,1,1,6.12274, nan, nan
HWCN,1,128,28,256,3,2,1,2.43373, nan, nan
HWCN,16,128,28,256,3,2,1,3.08459, nan, nan
HWCN,32,128,28,256,3,2,1,3.12748, nan, nan
HWCN,1,128,28,256,1,2,0,0.273433, nan, nan
HWCN,16,128,28,256,1,2,0,0.34586, nan, nan
HWCN,32,128,28,256,1,2,0,0.365905, nan, nan
HWCN,1,256,14,256,3,1,1,5.04549, nan, nan
HWCN,16,256,14,256,3,1,1,6.05276, nan, nan
HWCN,32,256,14,256,3,1,1,6.12204, nan, nan
HWCN,1,256,14,512,3,2,1,2.472, nan, nan
HWCN,16,256,14,512,3,2,1,3.10142, nan, nan
HWCN,32,256,14,512,3,2,1,3.14535, nan, nan
HWCN,1,256,14,512,1,2,0,0.271198, nan, nan
HWCN,16,256,14,512,1,2,0,0.34132, nan, nan
HWCN,32,256,14,512,1,2,0,0.356266, nan, nan
HWCN,1,512,7,512,3,1,1,5.04703, nan, nan
HWCN,16,512,7,512,3,1,1,6.04319, nan, nan
HWCN,32,512,7,512,3,1,1,6.12442, nan, nan
HWCN,1,128,122,128,3,1,1,96.3638, nan, nan
HWCN,16,128,122,128,3,1,1,112.382, nan, nan
HWCN,32,128,122,128,3,1,1,113.847, nan, nan
HWCN,1,1,224,64,5,1,2,8.13455, nan, nan
HWCN,16,1,224,64,5,1,2,15.8281, nan, nan
HWCN,32,1,224,64,5,1,2,16.9339, nan, nan
HWCN,1,64,224,64,3,1,1,78.4583, nan, nan
HWCN,16,64,224,64,3,1,1,94.7426, nan, nan
HWCN,32,64,224,64,3,1,1,96.2167, nan, nan
HWCN,1,64,224,32,3,1,1,210.93, nan, nan
HWCN,16,64,224,32,3,1,1,226.7, nan, nan
HWCN,32,64,224,32,3,1,1,230.062, nan, nan
HWCN,1,32,224,9,3,1,1,102.571, nan, nan
HWCN,16,32,224,9,3,1,1,110.506, nan, nan
HWCN,32,32,224,9,3,1,1,112.671, nan, nan
